'VIRGINIA ALICIA', 'BALASTEGUI PRINCIPE', '1920-07-18'
'ADELA BEATRIZ', 'CARABIAS GEORGIEV', '1995-07-31'
'ERICO', 'BALLESTA MIOTA', '1937-07-26'
'MOHAMED AYMAN', 'ESTALAYO NAVALMORAL', '2005-01-30'
'NAAMA', 'CARRIBA BOTO', '2014-11-22'
'BERTA ALICIA', 'SOUSSI COMBA', '2011-08-16'
'MALVA', 'VALLADOLID YAGOUBI', '1988-04-24'
'SERGIO FERNANDO', 'SANTA OLALLA GHAZALI', '2009-12-09'
'LIDIA ROSARIO', 'ALTAMIRA POUS', '1933-04-25'
'ETIENNE', 'CEDRES BOAL', '1935-05-17'
'FRANCISCO HORACIO', 'OTERO SAINZ PARDO', '1991-01-28'
'CARLOS JERONIMO', 'SAN JUAN SAZ', '1990-12-16'
'JULIO PASCUAL', 'AMOROS RAMIO', '1952-12-21'
'WIEBKE', 'ORTIZ DE MENDIVIL GROZA', '2015-05-15'
'YICHEN', 'BRISSON SARRI', '1967-05-07'
'GONZALO IGNACIO', 'ESPADAS SUBIRATS', '1959-05-18'
'ABOU', 'URDANIZ CACHAZO', '1982-12-10'
'CRISTINA MACARENA', 'ALMELLONES CASTROMAN', '1937-11-16'
'BELEN ROSARIO', 'EL KAMOUNI CARRASCON', '1947-10-19'
'LORENA ROSA', 'MADRONA RIDA', '1970-10-29'
'TAMBA', 'PERON RIVEROLA', '1960-08-10'
'LIDIA VICTORIA', 'LUPIAÑEZ MORENATE', '2004-08-25'
'TIAGO DANIEL', 'RIVERON EL FAKIRI', '2011-05-29'
'JESUS OCTAVIO', 'DEBON SYKES', '1950-05-23'
'CARLOS DARIO', 'HARILLO RANDALL', '1995-03-30'
'XABEL', 'DE SANCHO MERELO', '1964-01-04'
'WENTING', 'PISA RAMAJO', '1989-03-31'
'KARINA ELIZABETH', 'DE SILVA SARRIUGARTE', '1949-05-05'
'JHON FREDY', 'ALGARAÑAZ BALAZS', '1961-11-07'
'JHONATAN ALEXANDER', 'MANCHA BAK', '1980-03-08'
'GERGELY', 'MERENCIANO REIXACH', '1982-06-13'
'OLGA YOLANDA', 'SANTIDRIAN DEFEZ', '2005-11-01'
'MELEK', 'FERNANDEZ BERMEJO BELCAID', '1954-08-06'
'AMPAR', 'CERDERA THIOR', '1965-07-28'
'NEHAD', 'LAURIA MONTEIRO', '1952-07-18'
'MARIYA TODOROVA', 'SERRADA ACASUSO', '1918-07-25'
'JOAQUINA MARIA', 'COLCHON LOMBAN', '1923-04-25'
'GLORIA ASCENSION', 'MAGARIÑO EL OUAKILI', '1942-09-22'
'MARIANA ELISA', 'CARNEROS FITA', '1952-09-15'
'MARIA ORO', 'POSSE LUENGAS', '1940-12-08'
'APOLLONIA', 'RUBIELLA FELLAHI', '1981-06-26'
'DOMEKA', 'GARCIA ABAD SALORD', '1964-08-02'
'GERNOT', 'FRIMPONG CANICIO', '1928-02-10'
'ARYAN', 'URAGA PORTEIRO', '1940-06-13'
'ENCARNACION LOURDES', 'PECO ASTORGA', '1941-04-26'
'ALFONSO JULIO', 'PITARQUE RIEIRO', '1963-12-23'
'PROSPERA', 'MONTILLA BRUÑO', '2007-04-01'
'ANTOLINO', 'BANO GONZALVEZ', '1976-05-17'
'ALEXIS FRANCISCO', 'TRASMONTE REBULLIDA', '1949-07-29'
'MADALINA IULIANA', 'LASTRA OLABARRIA', '1984-12-16'
'LIBERTAD MARIA', 'POMES RIOPEDRE', '2012-10-27'
'VASILE MIRCEA', 'SALSENCH GENESCA', '1930-03-03'
'ANA GREGORIA', 'O'BRIEN ZURITA', '1946-04-27'
'VIGGO', 'HOQUE ARNOLD', '1961-06-27'
'IONELA DORINA', 'VISUS KILOULI', '1949-05-23'
'ESTHER JUDITH', 'LIGERO BORDONADA', '1963-09-19'
'LAURA CLAUDIA', 'AROCENA ANCHIA', '1923-09-16'
'OLGA MATILDE', 'ABALOS BEDMAR', '1962-05-24'
'WINSTON', 'MIHAYLOV CAMILO', '2009-02-26'
'CARMEN CARLOTA', 'LORITE CHUECOS', '1933-10-09'
'MONICA FABIOLA', 'PLUMED TORAL', '1943-08-22'
'SHIRLEY ANDREA', 'BUA CORTIZO', '1952-09-12'
'ROSA CRUZ', 'KONATEH NASTASE', '1956-10-04'
'JAEL', 'GESE PARCERISAS', '1939-11-17'
'ALBA PINO', 'SELLAK MALLO', '1949-04-17'
'VICENTA MARTA', 'PILES DE LOS SANTOS', '1979-01-05'
'JINFENG', 'CAÑUETO CADIZ', '1983-04-04'
'FERRAN', 'PERROTE LLANEZA', '1954-05-07'
'EDUARDO RAFAEL', 'HONTORIA QUIROS', '1970-03-12'
'SIMONA ANDREEA', 'AMEIJEIRAS PORTORREAL', '1921-11-11'
'WILLIAM HERNAN', 'TORNEL BILBAO', '1928-04-08'
'KEBBA', 'POLI MORAL', '1950-01-27'
'BIRTHE', 'MURUZABAL CASTAÑE', '2001-12-05'
'EDGARS', 'IDAÑEZ BERJILLOS', '1919-08-17'
'REINHARD', 'FORGAS DE LA RED', '1973-06-26'
'NASTACA', 'REULA ZARATE', '1973-03-06'
'PASTORA CARMEN', 'EZEQUIEL BALIBREA', '1951-05-09'
'ANAYET', 'GAMELL ORENSANZ', '1928-01-09'
'ROBERTO ADRIAN', 'PENCO AHARCHI', '1990-10-08'
'AMPARO SOLEDAD', 'ARTARAZ CORCHERO', '1944-12-24'
'CARMEN LUCILA', 'GAINZA DELFA', '1950-08-19'
'ARIADNA PILAR', 'HERBAS CLAUDIO', '1925-01-29'
'JOHAN ALEXIS', 'TUDURI LISON', '2007-06-23'
'NORMA LETICIA', 'RESINES MARUGAN', '1955-01-05'
'SERGIO JAVIER', 'MASCATO JUNCOS', '1960-07-04'
'LUCIA RITA', 'ABAITUA GRIGORYAN', '1930-10-02'
'MICHAEL STEVE', 'PUJALES REGUILLO', '1954-08-13'
'CARLOS LEON', 'MAGALLO ONIS', '1994-06-27'
'JULIAN ALEXANDER', 'CUGAT NAGEL', '2000-07-22'
'LIDE', 'FORNIELES DE VICENTE', '2004-09-05'
'JAVIER HERNAN', 'LOPEZ DE MURILLAS ABIETAR', '1944-03-01'
'YULIYA', 'TABARA MARROYO', '1944-12-24'
'CRISTINA GEMMA', 'LERTXUNDI CANDALES', '1938-07-30'
'AURELIO MANUEL', 'DEL AMA TORIO', '2010-10-25'
'MIHO', 'VESES ABALO', '1941-11-21'
'CARMEN YAIZA', 'LAZAR CANARIO', '2006-10-26'
'RAUL JAIME', 'GAJARDO MASCUÑAN', '1949-08-27'
'SANTIAGO CRISTOBAL', 'SELVA BERTOS', '1938-01-22'
'DOMINGOS ANTONIO', 'LASZLO URREA', '1955-10-18'
'NICOLAS FELIPE', 'JORDANO SAMPERA', '1997-04-09'
'ENRIQUE MARIANO', 'PISCO ESTEO', '2012-12-22'
'STANA', 'BARGADOS AMBITE', '1923-07-08'
'LIMBERT', 'VERGEL DIENTE', '1927-08-09'
'YUNEIDA', 'ISIEGAS SAOU', '1930-05-21'
'JENNY MARGARITA', 'FISHER MORA FIGUEROA', '1930-01-09'
'ALICIA BELEN', 'ASEGUINOLAZA SAYAR', '1935-06-27'
'IVONA', 'EL MOUJAHID DOCAL', '1941-06-20'
'HILDA ROSA', 'REYERO GARCIA TALAVERA', '1994-02-04'
'XOAN MANUEL', 'PINHEIRO PODEROSO', '1934-04-09'
'JOEL ALEXANDER', 'SILVEIRA MANDA', '1984-10-29'
'AVILIO', 'TONI FRANCES', '1976-07-26'
'RUBEN MARIA', 'ARTIÑANO GIRO', '1970-02-16'
'FEDERICO DANIEL', 'GAUTO DE ARCOS', '1939-06-25'
'RAFAEL EUGENIO', 'ASENOVA BARNUEVO', '2002-01-21'
'JONATHAN ALFREDO', 'BARBETA VESGA', '2010-03-01'
'ELENA MAGDALENA', 'SANCHEZ DEL RIO AYDILLO', '1928-01-13'
'NICOLE DANIELA', 'BUENACHE LAVAYEN', '1995-01-24'
'CARLA CARMEN', 'REGUEIRA HUAPAYA', '1925-02-16'
'GABINA', 'LLERA ANDONE', '1945-03-25'
'ANALIZA', 'DE LA LLAVE LACHKAR', '1982-10-10'
'ALAN MARTIN', 'PERRUCA CASTAÑAR', '2001-02-13'
'LUCIAN ALEXANDRU', 'SAN GIL AYOUB', '1993-09-18'
'ASSIYA', 'EL OUAZZANI VIDE', '1981-10-30'
'CESAR IVAN', 'LISO MANTILLA', '1971-04-28'
'PABLO MANUEL', 'ESCARABAJAL NICASIO', '1940-05-14'
'JOSEFA EUGENIA', 'OSORIO MORAIS', '2013-08-04'
'MANUEL FAUSTINO', 'ROBADO GARLITO', '1990-03-14'
'NURIA', 'ALBENCA SOLIVELLAS', '1983-09-08'
'MARIA MARTIRES', 'OLEA GARCIA VALDECASAS', '1971-04-28'
'JESSIKA', 'COTILLO CONTAMINA', '1927-07-07'
'JESUS HILARIO', 'BADORREY SOTELO', '1995-06-10'
'BEATRIZ SONIA', 'DORADOR ABBOTT', '1974-03-08'
'SOFIA PATRICIA', 'DIN CERRILLO', '1948-12-07'
'NIKI', 'FERRAGUT TELL', '1961-01-31'
'MARIA CIRILA', 'ONA SANDEMETRIO', '2015-10-17'
'RODOLFO ALBERTO', 'ESTAVILLO BRONTE', '1998-10-06'
'BERNARD JOHN', 'OLAETXEA ROSCO', '2001-01-05'
'ALEJANDRA CAROLINA', 'LACHHAB JURJ', '1937-01-29'
'YARISSA', 'BAÑOL FRANQUEIRA', '1927-08-23'
'BARBARA CATALINA', 'MOUTAWAKIL LORA', '1920-09-15'
'FERAS', 'REMACHE BOHOYO', '1949-11-06'
'ALEKSEI', 'CENITAGOYA GARCIA ESCUDERO', '1953-08-05'
'EDWIN ALFONSO', 'FRAILE CHARRY', '1941-03-31'
'ESTEBAN FERNANDO', 'VILLAMAÑAN DOLS', '1969-02-15'
'JUAN JOSE MANUEL', 'PERNIAS FAFIAN', '1935-09-07'
'LAURA JOSEFA', 'BERNARDINI LAITA', '1974-10-17'
'DIANA ANDREEA', 'CHARLIN TOCADOS', '1955-11-28'
'HECTOR IGNACIO', 'FARRERO LIZ', '1955-05-30'
'JOHANNES ANTONIUS', 'CEBELLAN URDIALES', '1932-11-12'
'ANA TULIA', 'GUBAU MINGUELL', '1961-01-16'
'MARIA CATHERINE', 'MAHDI ALEXA', '1948-12-10'
'LORRAINE ANN', 'MOHINO MOUCO', '1950-12-01'
'DOUDOU', 'MONTSERRAT BARAUT', '1981-11-17'
'ROSA DIVINA', 'EL MAKHLOUFI GUINEA', '1974-07-01'
'MIREN DORLETA', 'CASANS CABRE', '1920-10-12'
'MARIA VICO', 'PARAMOS CUADRAT', '1990-01-08'
'EL MILOUDIA', 'BALADRON VILLODRE', '2015-09-23'
'CHANTAL MARIA', 'SANDULESCU MILAGRO', '1958-08-08'
'LORENZO JESUS', 'FORTE CHAMLAL', '1997-05-23'
'MICHAL', 'PETROVICI ZUBIARRAIN', '1995-01-31'
'OLGA MABEL', 'SOPELANA ALIAGA', '1994-09-23'
'NAEVIA', 'PODADERA ORBEGOZO', '1939-04-19'
'JESSICA NOEMI', 'ARENY KOSTADINOV', '1968-02-16'
'LEONEL ALEJANDRO', 'JANSANA MAUDES', '2002-07-29'
'CRISTINA VALLE', 'FARSI MOUSSA', '1938-01-23'
'LUZ MERCEDES', 'ALBARRAL FENOLLAR', '1998-03-02'
'LIFEN', 'AÑINO SERRAN', '1965-03-13'
'NICOLAE CRISTIAN', 'MORENAS SOUTULLO', '1998-06-05'
'LARISA MADALINA', 'IDAÑEZ PICHARDO', '1959-03-27'
'LEONARD WILLIAM', 'DAVILA EL MIMOUNI', '1933-04-29'
'RUPINDER', 'ACEBES CALABRIA', '1979-01-01'
'ATREYU', 'CRETA TACHE', '2009-05-04'
'IGNACIO RODRIGO', 'GAJON ESTORNELL', '1929-12-12'
'SETOU', 'CARAS SUESCUN', '1974-04-20'
'HELIO', 'ZORITA RARO', '1954-10-08'
'GLORIA INMACULADA', 'PARLON GORMEDINO', '1939-09-18'
'CORAIMA', 'BELEN SULCA', '1950-10-25'
'JESUS BORJA', 'LERA CUCALA', '1980-12-24'
'IBOLYA', 'GABELLA BONED', '1925-01-21'
'YUEMEI', 'FERRAO MARTINEZ DE UBAGO', '1988-09-25'
'ANGELA ADRIANA', 'COROMINA FEAS', '1929-11-19'
'VICTOR CONSTANTIN', 'TORRIJO PINTILIE', '1933-03-20'
'CORAZON', 'TARRATS OMEÑACA', '2015-01-29'
'EDUARD', 'LAYA CAÑADELL', '1959-03-22'
'ANTONIA LOURDES', 'GAMO AGRAFOJO', '1942-12-06'
'ANGELES ISABEL', 'AIZPUN DE PRADOS', '1999-07-05'
'GASPAR', 'ROTLLAN SABUCEDO', '1980-01-18'
'VENTSISLAV', 'SOL OVEJA', '1962-09-15'
'TXEMA', 'MOSCOSO BARZALLO', '1933-03-06'
'DAYLA', 'BOUAYAD BAÑASCO', '1936-02-03'
'MARINA INES', 'BATIZ CASTARLENAS', '1939-03-07'
'JILL', 'GARGOLES BAOS', '1960-07-11'
'ALEXANDRU NICOLAE', 'JAEN TOADER', '1952-03-07'
'MARITXU', 'LIAO CAÑONES', '2013-06-05'
'EDUARD GABRIEL', 'RODILA RIBOT', '1928-06-11'
'IRENE ALICIA', 'GOROSTIDI TERRERO', '1975-09-22'
'JULIA VERONICA', 'EGIO RIMBAU', '1964-06-24'
'LOURDES NOEMI', 'RIVACOBA SASTRON', '1982-05-07'
'SAMANTHA ELIZABETH', 'LARROSA PISANI', '2012-09-25'
'FABIAN LUIS', 'CEBA CHUNG', '2005-10-28'
'MALAMIN', 'LAMBARRI SANTOYO', '1957-10-16'
'ABENAURA', 'JAURENA GARCILOPEZ', '1943-09-28'
'ANCUTA IOANA', 'LO TORRONTERAS', '1984-08-03'
'ISAAC VICENTE', 'TORON RAOUI', '1931-11-28'
'MANUEL CELESTINO', 'OBESO AFKIR', '1956-07-17'
'NAYDEN', 'BOUMAAZA LUP', '1935-02-19'
'LARISA MARIANA', 'ROYANO JULIAN', '1988-05-21'
'BENOIT', 'JEBARI MORAGUES', '1958-08-17'
'GINES ANTONIO', 'BRA PENAYO', '1938-10-23'
'LUCIA ANTONIA', 'ECAY SALDARRIAGA', '1955-05-02'
'EVA MERCEDES', 'OCHOTECO SEÑARIS', '1966-07-18'
'YASEEN', 'POUSO EIZMENDI', '1961-05-16'
'JOSE DOMINGO', 'ALONSO DE ARMIÑO ABBOU', '1939-11-08'
'JOSE BENJAMIN', 'ONEA BUENAFE', '2003-08-30'
'ANA NATIVIDAD', 'LUACES MORGADE', '1955-02-14'
'ANGELES LUCIA', 'BOUJIDA MOUDEN', '1988-02-25'
'VICENTE LUIS', 'HUMADA FIÑANA', '2004-12-11'
'ARADIA', 'BOUALAM TOBARES', '1920-07-29'
'ZILDA', 'CRUZATE GONZALEZ DE ZARATE', '1966-12-13'
'ILARGI', 'LAMUELA BOURAGBA', '1953-05-16'
'INGRID ELIZABETH', 'SUCH VELASTEGUI', '1992-04-09'
'MARIA EMILCE', 'CARRASCOSO FORNEAS', '2009-08-22'
'MARA ISABEL', 'SALIM LAMHAMDI', '1936-06-15'
'JINYAN', 'QUIJANO BOUZAS', '1948-03-30'
'JUAN RAUL', 'AYASTUY BARREZUETA', '1935-06-11'
'BARBARA LUISA', 'BAPTISTA LOPEZ DE LA RICA', '2011-06-29'
'JUANA CARIDAD', 'CERDERA FARELO', '2004-02-06'
'PEDRO JOSUE', 'ICHASO ONTANEDA', '1956-04-20'
'TERESA GABRIELA', 'SALSENCH BARATO', '2010-04-27'
'FRANCESC XAVIER', 'AGUIRREZABALA GAROFALO', '2001-06-20'
'LIVIU IULIAN', 'KAMAL DALDA', '1975-09-16'
'NICOLETTA', 'BOCOS BENITEZ', '1980-02-06'
'ANA LILIAN', 'FAJARDO MARTINEZ DE LAGOS', '2012-10-14'
'MIHAI EDUARD', 'BELLART LIESA', '1949-07-15'
'LINDA ELIZABETH', 'LAMA BRUNAT', '1982-08-05'
'EL MAHFOUD', 'CERVILLA FERNANDEZ DE VALDERRAMA', '1935-02-18'
'CARMEN LORENZA', 'PUIGDOMENECH GARCIA VALENCIANO', '1976-03-26'
'HAIHUA', 'LLIMOS OMOREGIE', '2002-05-16'
'ELISA ROSARIO', 'PISA MARQUEZ DE PRADO', '1943-01-26'
'SEGUNDA', 'LIZAGA DALAMA', '2008-09-01'
'JAGJIT', 'BASCARAN BIEDMA', '1966-10-09'
'SITAN', 'MEILAN BELIZON', '1954-04-16'
'SIGITA', 'MICHAEL CANDELO', '1945-08-16'
'ISABEL JUANA', 'GAROZ PONTES', '1949-05-03'
'SIERRA', 'MAHILLO GARCIA DE CASTRO', '1949-05-29'
'ANDREI ALEXANDRU', 'PORTELA ESCAPA', '1937-04-04'
'ALFONSO IGNACIO', 'BARBULESCU DE SOLA', '1989-10-01'
'GABRIEL VICTOR', 'EPURE PANEA', '1943-01-08'
'MARIA EMILIA', 'MUNTAÑOLA TOBAJAS', '1924-08-19'
'LEONARD GABRIEL', 'CLOTA CHOY', '1989-03-11'
'JESUS CELESTINO', 'ABOLAFIO NAVAIS', '1939-06-11'
'MAHY', 'VILARRUBI USEROS', '1976-11-29'
'AFONSO', 'RODULFO NOTIVOLI', '2015-05-29'
'TOMAS SEBASTIAN', 'MONDELO BENAGES', '1925-05-08'
'JAIR ALEXANDER', 'MOSTAZA OIZ', '1952-12-23'
'REBECA GABRIELA', 'ESTIVARIZ DUMA', '1965-07-03'
'DANIEL PEDRO', 'RIBAO CATIVIELA', '1937-10-18'
'MARIA AURINA', 'EL MOUDEN COSTAL', '2002-08-09'
'DUMITRU MARIUS', 'GELLIDA EL ANZI', '2010-12-11'
'FERMIN PEDRO', 'LEZANA ARIZNAVARRETA', '2006-07-06'
'YOUNESSE', 'GIULIANO MKRTCHYAN', '1960-02-17'
'MONICA ANGELES', 'CARRELLAN LUENGO', '1974-06-07'
'HORACIO JOSE', 'CEBRECOS BICA', '1960-01-29'
'LILIAN CAROLINA', 'CUERDO ACEDOS', '1927-01-11'
'JOHN TREVOR', 'DOMINGUEZ CARUNCHO', '1972-01-06'
'DIANA NICOLETA', 'ZOROA PERUJO', '1967-03-21'
'ESTHER MARGARITA', 'RUPEREZ LLOBELL', '2001-12-12'
'ALEXANDRU SORIN', 'DOURAL DOVAL', '1966-04-27'
'NICOLAS JULIAN', 'BOT GUIMIL', '1931-04-08'
'YURIAN', 'HARRAK GHANEM', '1998-10-25'
'XIAOHUA', 'BEDON BASTIAN', '1996-05-28'
'PIEDAD SOCORRO', 'MUGA DE COS', '1928-04-10'
'KATHERINE JANE', 'OUACHA AJILA', '1920-04-28'
'JOSE EDUARDO', 'DOBRA MOHAND', '2015-04-04'
'SANAH', 'VERDEGUER MINUESA', '2004-02-03'
'CLAUDIANA', 'MOUTEIRA URKIA', '1964-09-05'
'RAFAEL LUCAS', 'EL JABRI LORENZ', '1943-09-19'
'JIA JIA', 'SANVICENS MATANZA', '1931-09-30'
'MARTINE', 'CAGIAO LIZARRIBAR', '1950-06-01'
'FLORINA NICOLETA', 'SABORIT HUERTA', '1977-03-02'
'ORIEL', 'CORZO MALLALI', '2006-09-01'
'FRANCISCO LAUREANO', 'URIZARBARRENA ZARACHO', '2011-05-27'
'LAKHBIR', 'TIERZ DIAZ DE TUESTA', '2010-12-22'
'RALUCA ALINA', 'LASALA MITXELENA', '1970-02-10'
'ALINA FLORENTINA', 'LANCINA ZHIVKOVA', '1932-01-24'
'ANGEL MARCIAL', 'SABOGAL RAMIREZ ARELLANO', '1923-06-10'
'MARIA ERCILIA', 'EL JABRI SZABO', '2007-07-18'
'ANUSKA', 'GETE LANDER', '1969-05-31'
'DRAGOS FLORIN', 'ANIORTE OIARZABAL', '2012-08-25'
'LAURA VICTORIA', 'PACIN DIAZ ROPERO', '1987-11-19'
'ANA LILIANA', 'ROSS PACCHA', '1974-06-03'
'GEMA AMPARO', 'DUTRA ROTGER', '1944-09-20'
'BIN', 'ALAMAR PEDRERO', '1921-09-26'
'MARIA ANCA', 'DE GROOT ESBERT', '1954-06-21'
'CONSUELO ISABEL', 'WALKER LIZARRALDE', '2015-04-12'
'SAFOUAN', 'SALDIAS NEGREIRA', '1989-06-09'
'JAVIER PEDRO', 'LANSAC AYNES', '1998-02-28'
'MIREN AMAIA', 'MONEO ANTOLINO', '1950-09-07'
'MARIA ARIADNA', 'CAMELLO BOUHOU', '1928-06-19'
'DAVID ALEXANDRU', 'ZAIT BURDIO', '1999-08-09'
'CUSTODIO', 'KASHIF MOGROVEJO', '2013-01-15'
'SIGFREDO', 'CUBILES DE LOS ANGELES', '1982-09-05'
'MARCO MANUEL', 'TAZON GADELLA', '1994-01-22'
'VAITIARE', 'CONTRERA TOBIAS', '1973-07-24'
'GLORIA MARLENE', 'MESSAOUDI CORPUZ', '1919-06-03'
'YEIMY', 'HAIDOUR DORIA', '1942-04-26'
'AUGUSTO JAVIER', 'BARTOLI ZHU', '1967-01-16'
'ARIANA GABRIELA', 'ATUCHA BRUSTENGA', '1969-05-09'
'DAFINKA', 'REN ALVARIÑO', '1994-08-18'
'CRISTHIAN ARIEL', 'FARDI COTOS', '2002-04-15'
'SOUNGALO', 'LEOZ ZUMALACARREGUI', '1975-05-14'
'MEERAB', 'ROTARIU EL GHZAOUI', '1957-08-29'
'JUAN JACOBO', 'ZEBALLOS FREEMAN', '1982-03-08'
'ALFIA', 'VICTORIA TRULLS', '1997-02-07'
'YAQUELINE', 'ROMA TAVORA', '1983-11-16'
'AMADOU BAILO', 'PADIAL ONECHA', '1983-02-22'
'JERONIMO JOSE', 'MAÑOSA WILCHES', '1995-07-27'
'IRASEMA', 'ARINCON LIFANTE', '2006-06-15'
'MATILDE MARGARITA', 'DIAZ MERINO TAVAREZ', '1920-08-28'
'MILICA', 'EDU BARGUES', '2000-03-31'
'CARMEN RITA', 'LAMKADEM VILLAMIZAR', '1966-08-08'
'MARGARET JUNE', 'LABAJOS MUGUERZA', '1943-06-04'
'ALBA MARINA', 'LEITON KHALLOUK', '1989-07-25'
'BTISSAM', 'BELZA FLETE', '2008-07-24'
'MARIA DAISY', 'OVIDE UBAGO', '1983-09-02'
'JESSICA ANDREINA', 'DHILLON AGUIRRE', '1966-12-05'
'JULIA PAULA', 'SOTRES LLABERIA', '2009-07-06'
'ASIF', 'CASTILLA SANCHEZ CAMACHO', '1974-03-08'
'WIAAM', 'ARMIJO LLULL', '1998-07-10'
'FLORIN ALIN', 'MAGUIÑA HAMED', '2011-10-21'
'LENUT', 'ALABADI ROBAINA', '1983-06-08'
'JOSE LUIZ', 'CONRADO BRAHIM', '1994-09-14'
'MIRIAM SUSANA', 'TRIADU MANJON', '1960-02-25'
'DENISA DANIELA', 'CAMPI MILLOR', '1968-12-30'
'ROSA MARIA JESUS', 'GASPARINI NACIRI', '1943-09-02'
'FERNANDA', 'BRIZUELA FAKIR', '1934-11-28'
'WEIQIN', 'CABEZON AYUCAR', '1974-09-10'
'ANTONIA RAFAELA', 'PEREGRINO ZALAZAR', '1998-06-10'
'JOSEPH JOHN', 'DAVIS FORNES', '1950-01-31'
'JORGE VALENTIN', 'SINOVAS LABAO', '2011-08-06'
'KRASIMIR GEORGIEV', 'AMRAOUI GAVILA', '1981-04-29'
'DUNIA CARMEN', 'AMUTIO ZAKARIA', '1978-06-29'
'LUCILLE', 'LEONET MORIENTES', '1956-03-14'
'SILVIA BEGOÃ‘A', 'BARBELLIDO ANDRADE', '1935-06-25'
'AGUSTIN ALEJANDRO', 'LONDOÑO FLORIT', '1969-09-09'
'ERIKA FERNANDA', 'PROCOPIO EL ARCHI', '1951-12-05'
'JULIA ANGELA', 'HATIM MOROZOV', '1987-03-05'
'LAZARO DAVID', 'VALEIRAS MERIZALDE', '2003-07-29'
'MICHAEL FRANK', 'SEÑORANS FECED', '1946-05-26'
'SHAMARA', 'MAHEDERO CERVELLO', '2015-12-02'
'SATURNO', 'SAINZ DE LOS TERREROS DUKURAY', '1967-09-11'
'INES ROSARIO', 'BENEITE ADRADOS', '1947-04-05'
'ESTHER MARINA', 'ADMETLLA BORDALLO', '1959-01-08'
'PATRICIA MERCEDES', 'DIAZ DEL RIO LAMHAMDI', '1985-10-07'
'JOYCE MARGARET', 'VILLAFAÑE PORCA', '2007-06-30'
'LUIS ALVARO', 'BARTOLL RANERO', '1974-08-07'
'MARIA BONOSA', 'MURUZABAL PESET', '1997-01-16'
'HANIF', 'BIDAURRAZAGA LLAMUSI', '1969-07-21'
'LIRIOS', 'ATAN PLUA', '1921-07-21'
'MAURO NICOLAS', 'MARMANEU ARMAYONES', '1981-07-19'
'EDWIN GIOVANNY', 'ALBERT VILAN', '1961-03-15'
'BAKARNE', 'OTAOLA ESQUIROZ', '1979-07-19'
'FATIMA ZOUHRA', 'GREDIAGA TOSSO', '1952-09-27'
'NATALIA MARGARITA', 'GONZALVES PANCHI', '1978-02-28'
'MARIA SONIA', 'COTRINO TRONCOSO', '1948-11-16'
'JAVIER JULIO', 'ARCANGEL REDO', '1969-07-22'
'VICTORIA ALEJANDRA', 'LUMERAS VIZARRO', '1945-04-10'
'VALERI', 'REVELLES FONDON', '1944-01-07'
'MIKAELA', 'IBARGUEN LARRETA', '1962-04-08'
'ABDEL ILAH', 'CHTAIBI GAYOSO', '1956-03-27'
'JUNE ANN', 'REDO EL HARCHI', '2011-01-30'
'GABRIELA TATIANA', 'BUELTA CAMINA', '1994-10-24'
'ANA DAVINIA', 'LIANES AOUICHI', '1923-06-13'
'LAURENTINA', 'CARBALLADA MELE', '2015-12-09'
'GALYA', 'PORRUA AVERO', '1988-12-04'
'IOANA MARIA', 'PUNZON CEIDE', '1954-03-17'
'CELESTI', 'CHOYA CHARLIN', '1990-07-19'
'IMELDA MARIA', 'TARRIÑO PABON', '1987-07-22'
'CHRISTOPHER ANTHONY', 'SILANES ROTLLAN', '1963-01-02'
'MARIA EDILIA', 'DOCAL CEBREROS', '2000-11-14'
'JAIME ALEJANDRO', 'DOIZ BEJERANO', '1963-11-26'
'FAUZI', 'TERRONES GLIGA', '1929-06-23'
'BAHIYA', 'MONTABES EL MHAMDI', '1988-08-05'
'MARCOS NICOLAS', 'ISASI CASCADO', '1926-12-26'
'ELEONORA', 'MONTAVA CLARKE', '1950-02-14'
'TERESA ANNE', 'GILETE PANIZA', '1973-11-15'
'STEFFEN', 'DIAZ DE RADA YAGOUBI', '1940-05-25'
'OSCAR SALVADOR', 'FABIANI PINELL', '1968-06-01'
'CRISTINA SONIA', 'VESELINOV AGOIZ', '1969-12-10'
'ALEXANDRA GABRIELA', 'ASPERA NOGUEROLES', '1935-04-12'
'CAROLINA ALTAGRACIA', 'TAJES CHAHBI', '1961-01-08'
'CARMEN FILOMENA', 'ESPOT LEBRON', '1981-03-16'
'FELISINDO', 'GULLON CHIHEB', '1923-10-24'
'MARIA PILAR EMILIA', 'BERGILLOS ABIZANDA', '1963-07-15'
'NAFI', 'SURIAN PETROV', '2008-06-18'
'AIDA ISABEL', 'GANFORNINA BORGES', '1953-02-11'
'IAKOV', 'BAZAN ARRAEZ', '1940-03-20'
'JOSE EMILIANO', 'TOMAS MORCHON', '1959-04-11'
'MARIA VIOLANTE', 'MESIA DAVIS', '1950-04-03'
'EDGARDO JAVIER', 'CARLON FIGUEREDO', '1933-06-21'
'CATALINA IONELA', 'LOPERA DEHESA', '2015-02-08'
'ESTEBAN ENRIQUE', 'ARREBOLA CHAQUES', '1937-02-18'
'MARIA LINAREJOS', 'CORUJO FONTCLARA', '1924-05-31'
'JULIO NICOLAS', 'THOVAR SAFTA', '1960-12-08'
'ANDONI', 'BARNA EL HAMRI', '1946-10-01'
'ALEXANDRU OVIDIU', 'CASTELLNOU ACEJO', '1956-03-26'
